iter	Passed	Remaining
0	138	138355
1	139	69732
2	140	46822
3	142	35394
4	143	28504
5	144	23897
6	145	20642
7	146	18188
8	147	16271
9	149	14756
10	150	13510
11	151	12483
12	152	11597
13	153	10844
14	155	10213
15	156	9644
16	158	9145
17	159	8695
18	160	8291
19	161	7935
20	163	7608
21	164	7324
22	165	7047
23	166	6791
24	168	6555
25	169	6339
26	170	6141
27	171	5949
28	172	5774
29	173	5613
30	174	5466
31	176	5326
32	177	5192
33	178	5065
34	179	4944
35	180	4830
36	181	4722
37	182	4625
38	183	4529
39	184	4436
40	185	4347
41	186	4262
42	187	4182
43	189	4106
44	190	4033
45	191	3963
46	192	3894
47	193	3829
48	194	3768
49	195	3712
50	196	3658
51	197	3604
52	198	3551
53	199	3499
54	200	3451
55	202	3405
56	203	3359
57	204	3316
58	205	3274
59	206	3234
60	207	3197
61	208	3159
62	210	3128
63	211	3093
64	212	3060
65	214	3030
66	215	2999
67	216	2968
68	217	2936
69	218	2905
70	219	2877
71	220	2848
72	222	2821
73	223	2792
74	224	2764
75	225	2738
76	226	2712
77	227	2687
78	228	2662
79	229	2644
80	231	2623
81	232	2603
82	233	2576
83	234	2557
84	235	2539
85	237	2520
86	238	2502
87	239	2482
88	240	2462
89	241	2443
90	242	2425
91	244	2408
92	245	2391
93	246	2375
94	247	2359
95	248	2344
96	250	2328
97	251	2311
98	252	2296
99	253	2280
100	254	2265
101	255	2252
102	257	2239
103	258	2224
104	259	2209
105	260	2195
106	261	2182
107	262	2170
108	264	2158
109	265	2146
110	266	2132
111	267	2120
112	268	2108
113	269	2096
114	270	2084
115	271	2072
116	272	2058
117	273	2046
118	275	2036
119	276	2026
120	277	2015
121	278	2002
122	279	1991
123	280	1980
124	281	1972
125	282	1961
126	283	1950
127	284	1940
128	286	1931
129	287	1922
130	288	1913
131	289	1906
132	291	1897
133	292	1888
134	293	1882
135	295	1874
136	296	1866
137	297	1858
138	298	1850
139	299	1842
140	301	1834
141	301	1824
142	303	1816
143	304	1808
144	305	1801
145	306	1794
146	308	1787
147	309	1780
148	310	1772
149	311	1765
150	312	1758
151	314	1751
152	315	1744
153	316	1737
154	317	1731
155	319	1728
156	320	1722
157	322	1716
158	323	1709
159	324	1704
160	325	1696
161	326	1690
162	327	1683
163	328	1676
164	330	1670
165	331	1665
166	332	1659
167	333	1653
168	334	1646
169	335	1640
170	337	1636
171	338	1631
172	340	1625
173	341	1620
174	342	1613
175	343	1607
176	344	1602
177	345	1596
178	346	1591
179	348	1585
180	349	1581
181	350	1576
182	352	1571
183	353	1566
184	354	1560
185	355	1554
186	356	1550
187	357	1545
188	359	1540
189	360	1536
190	361	1531
191	362	1527
192	364	1523
193	365	1517
194	366	1512
195	367	1507
196	368	1503
197	370	1499
198	371	1494
199	372	1489
200	374	1487
201	375	1483
202	376	1478
203	377	1473
204	378	1468
205	379	1463
206	380	1458
207	382	1455
208	383	1450
209	384	1446
210	385	1442
211	386	1437
212	388	1433
213	389	1429
214	390	1425
215	391	1422
216	393	1419
217	394	1415
218	395	1411
219	396	1407
220	398	1403
221	399	1399
222	400	1395
223	401	1392
224	403	1388
225	404	1384
226	405	1380
227	406	1377
228	407	1373
229	409	1369
230	410	1366
231	411	1362
232	413	1360
233	414	1356
234	415	1353
235	416	1349
236	418	1345
237	419	1341
238	420	1337
239	421	1333
240	422	1329
241	423	1325
242	424	1322
243	425	1318
244	426	1315
245	428	1311
246	429	1308
247	430	1304
248	431	1301
249	432	1298
250	433	1294
251	434	1290
252	436	1287
253	437	1285
254	438	1281
255	440	1278
256	441	1275
257	442	1272
258	443	1269
259	445	1266
260	446	1262
261	447	1260
262	448	1256
263	449	1253
264	450	1249
265	451	1246
266	453	1243
267	454	1240
268	455	1237
269	456	1234
270	457	1231
271	458	1227
272	459	1224
273	461	1221
274	462	1218
275	463	1215
276	464	1212
277	465	1209
278	466	1206
279	467	1203
280	469	1200
281	470	1197
282	471	1194
283	472	1191
284	473	1188
285	474	1185
286	476	1182
287	477	1180
288	478	1177
289	479	1174
290	481	1172
291	482	1169
292	483	1166
293	484	1163
294	485	1160
295	486	1158
296	488	1155
297	489	1152
